City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,argo,37.6333,22.7333,6.55,78,0,1.83,GR,1707018612
253,al bawiti,28.3492,28.8659,6.68,58,1,1.72,EG,1707018612
254,ciro marina,39.3732,17.126,11.31,60,32,1.44,IT,1707018612
255,sanibel,26.449,-82.0223,16.01,87,54,1.34,US,1707018370
256,mo i rana,66.3128,14.1428,-3.74,93,100,0.0,NO,1707018613
257,tonj,7.2737,28.6822,21.3,26,50,2.24,SS,1707018613
258,saint-joseph,-21.3667,55.6167,24.21,65,27,4.3,RE,1707018613
259,kapuskasing,49.4169,-82.4331,-1.95,93,0,1.03,CA,1707018301
260,auki,-8.7676,160.7034,29.71,70,97,3.99,SB,1707018614
261,coquimbo,-29.9533,-71.3436,18.85,82,0,0.0,CL,1707018110
262,bondoukou,8.0333,-2.8,23.42,21,98,0.93,CI,1707018614
263,aqaba,29.5267,35.0078,10.92,54,0,0.0,JO,1707018614
264,goz beida,13.95,20.55,16.82,23,2,2.92,TD,1707018614
265,vilyuysk,63.7553,121.6247,-23.33,93,98,1.79,RU,1707018614
266,ingeniero jacobacci,-41.3427,-69.5448,18.28,14,23,2.43,AR,1707018615
267,hanamaki,39.3833,141.1167,5.11,48,75,6.17,JP,1707018615
268,okha,53.5739,142.9478,-18.69,86,9,7.53,RU,1707018615
269,sparti,37.0733,22.4297,8.3,87,0,1.9,GR,1707018615
270,jiangyin,31.9282,120.3126,2.03,96,100,4.06,CN,1707018615
271,karratha,-20.7377,116.8463,35.09,43,73,7.56,AU,1707018377
272,franca,-20.5386,-47.4008,19.49,74,100,1.46,BR,1707018616
273,cabedelo,-6.9811,-34.8339,26.37,74,99,4.76,BR,1707018616
274,goldau,47.0476,8.5462,6.33,93,100,0.51,CH,1707018616
275,paulo afonso,-9.4061,-38.2147,23.52,82,82,3.51,BR,1707018616
276,n'dalatando,-9.2978,14.9116,19.99,98,100,0.91,AO,1707018617
277,lazaro cardenas,17.9583,-102.2,22.79,76,0,2.18,MX,1707018617
278,shipunovo,52.1582,82.2173,-6.51,79,98,7.84,RU,1707018617
279,daokou,35.5639,114.5058,-0.03,33,100,6.05,CN,1707018617
280,cutral-co,-38.9469,-69.2089,18.84,10,32,4.4,AR,1707018618
281,el granada,37.5027,-122.4694,10.94,89,100,7.2,US,1707018378
282,kamyzyak,46.11,48.0736,0.99,80,75,6.0,RU,1707018618
283,praia da vitoria,38.7333,-27.0667,15.98,88,20,5.36,PT,1707018311
284,kavieng,-2.5744,150.7967,29.44,72,91,3.32,PG,1707018618
285,hithadhoo,-0.6,73.0833,27.8,73,99,2.21,MV,1707018261
286,remire-montjoly,4.9167,-52.2667,26.02,89,0,1.03,GF,1707018230
287,isla vista,34.4133,-119.861,12.68,85,100,2.57,US,1707018619
288,torit,4.4133,32.5678,24.56,43,95,0.6,SS,1707018619
289,vorkuta,67.5,64.0,-21.83,97,35,1.59,RU,1707018620
290,at-bashi,41.1702,75.8106,-10.45,77,100,0.75,KG,1707018620
291,avila,40.5833,-5.0,3.14,39,0,1.21,ES,1707018620
292,ponta delgada,37.7333,-25.6667,18.44,77,20,4.63,PT,1707018297
293,piranhas,-16.4269,-51.8222,22.28,75,100,0.94,BR,1707018621
294,ceeldheer,3.8488,47.1806,25.25,86,70,6.82,SO,1707018261
295,altai,46.3722,96.2583,-16.0,89,51,1.73,MN,1707018621
296,niamey,13.5137,2.1098,20.16,14,0,5.14,NE,1707018621
297,bahia de caraquez,-0.6,-80.4167,27.1,87,100,2.36,EC,1707018622
298,north battleford,52.7834,-108.2847,0.22,93,100,3.6,CA,1707018622
299,kenai,60.5544,-151.2583,-16.03,89,100,6.17,US,1707018622
300,san antonio de pale,-1.4014,5.6325,27.86,75,100,3.43,GQ,1707018352
301,kourou,5.1552,-52.6478,26.03,93,56,3.1,GF,1707018622
302,howard springs,-12.497,131.047,33.32,77,58,5.76,AU,1707018304
303,zell am see,47.3256,12.7944,1.96,63,11,1.99,AT,1707018623
304,codrington,-38.2667,141.9667,26.08,38,27,6.18,AU,1707018623
305,cockburn town,21.4612,-71.1419,23.34,63,0,2.54,TC,1707018292
306,zunyi,27.6867,106.9072,3.13,88,100,1.69,CN,1707018490
307,ensenada,31.8667,-116.6167,13.3,69,17,1.08,MX,1707018302
308,honefoss,60.168,10.2565,1.84,94,85,1.14,NO,1707018624
309,qujing,25.4833,103.7833,13.97,33,0,7.78,CN,1707018625
310,dunedin,-45.8742,170.5036,25.04,32,96,3.64,NZ,1707018274
311,zhezqazghan,47.7833,67.7667,-7.68,86,75,8.0,KZ,1707018625
312,buncrana,55.1333,-7.45,8.33,80,100,8.26,IE,1707018625
313,malanje,-9.5402,16.341,16.85,98,100,1.53,AO,1707018275
314,bengkulu,-3.8004,102.2655,27.2,72,100,1.06,ID,1707018259
315,nikolayevsk-on-amure,53.1406,140.73,-16.01,77,25,2.45,RU,1707018276
316,port-gentil,-0.7193,8.7815,27.96,75,100,2.36,GA,1707018626
317,piacabucu,-10.4056,-36.4344,25.56,85,19,2.9,BR,1707018626
318,dawson creek,55.7666,-120.2362,-7.2,63,0,1.54,CA,1707018589
319,ulverstone,-41.15,146.1667,22.62,77,68,4.42,AU,1707018627
320,ust-tsilma,65.441,52.1498,-14.25,91,100,4.63,RU,1707018627
321,hamilton,39.1834,-84.5333,4.47,80,0,5.14,US,1707018301
322,fort st. john,56.2499,-120.8529,-9.06,73,0,4.12,CA,1707018397
323,tangalle,6.024,80.7911,26.09,66,69,3.01,LK,1707018278
324,mar del plata,-38.0023,-57.5575,19.01,62,75,6.71,AR,1707018628
325,siem reap,13.5,104.0,34.02,45,3,2.02,KH,1707018628
326,bardai,11.65,7.2333,15.43,21,2,6.06,NG,1707018628
327,sinop,41.7711,34.8709,1.2,77,100,3.03,TR,1707018423
328,illizi,26.4833,8.4667,4.89,36,0,2.61,DZ,1707018629
329,bargaal,11.2864,51.0773,24.26,77,78,3.27,SO,1707018629
330,parabel',58.6978,81.4825,-14.49,96,100,2.68,RU,1707018629
331,rongelap,11.1635,166.8941,26.65,79,100,8.18,MH,1707018276
332,vinaros,40.4703,0.4756,11.42,71,7,0.79,ES,1707018630
333,ebon,4.582,168.6964,27.56,83,73,8.1,MH,1707018630
334,rechka-vydrino,51.485,104.8461,-14.13,88,100,0.94,RU,1707018630
335,saldanha,-33.0117,17.9442,19.03,94,97,5.73,ZA,1707018349
336,ramshir,30.8946,49.4092,5.86,49,0,3.1,IR,1707018631
337,baoro,5.6667,15.9667,18.37,30,52,2.14,CF,1707018631
338,hacienda huancane,-15.8222,-70.8856,5.27,62,25,1.7,PE,1707018631
339,tahla,34.0485,-4.428,9.51,52,52,1.7,MA,1707018632
340,trairi,-3.2778,-39.2689,26.54,84,74,4.26,BR,1707018467
341,scarborough,54.2797,-0.4044,8.14,79,100,3.58,GB,1707018507
342,winschoten,53.1442,7.0347,6.79,90,59,6.54,NL,1707018632
343,port douglas,-16.4833,145.4667,29.23,79,100,3.23,AU,1707018633
344,oxapampa,-10.5775,-75.4017,14.11,96,29,1.96,PE,1707018633
345,yermolayevo,52.7167,55.8,-8.6,95,100,5.5,RU,1707018633
346,lindesberg,59.592,15.2304,2.29,56,5,5.74,SE,1707018633
347,guane,22.2025,-84.0875,20.93,80,8,3.13,CU,1707018633
348,onsala,57.4253,12.029,4.97,81,100,4.92,SE,1707018634
349,port saint john's,-31.6229,29.5448,22.04,82,12,1.92,ZA,1707018302
350,keflavik,64.0049,-22.5624,-1.76,93,75,10.8,IS,1707018366
351,verkhnevilyuysk,63.4453,120.3167,-21.78,89,100,2.53,RU,1707018634
352,touba,8.2833,-7.6833,23.33,26,93,0.99,CI,1707018634
353,dzuunharaa,48.8523,106.4579,-11.37,73,97,0.52,MN,1707018634
354,carutapera,-1.195,-46.02,25.35,89,23,2.49,BR,1707018635
355,woolgoolga,-30.1106,153.2007,31.69,73,90,8.54,AU,1707018635
356,livny,52.4253,37.6069,1.28,99,100,8.29,RU,1707018635
357,javanrud,34.7961,46.5172,-1.88,83,68,0.88,IR,1707018635
358,hailar,49.2,119.7,-23.55,91,69,1.3,CN,1707018636
359,pagar alam,-4.0167,103.2667,26.36,71,97,1.39,ID,1707018636
360,tocaima,4.4582,-74.6343,24.48,86,83,0.92,CO,1707018636
361,chilliwack,49.1747,-121.9443,6.29,97,100,0.89,CA,1707018636
